Format,Matches,Innings,Balls,Runs,Maidens,Wickets,Avg,Eco,SR,BBI,BBM,4w,5w,10w,player_name,Country
ODI,106,104,5444,4613,63,168,27.46,5.08,32.4,6/16,6/16,6,2,0,Kagiso Rabada,South Africa
T20,65,65,1393,1928,3,71,27.15,8.3,19.62,3/18,3/18,0,0,0,Kagiso Rabada,South Africa
IPL,81,81,1842,2611,2,118,22.13,8.5,15.61,4/21,4/21,6,0,0,Kagiso Rabada,South Africa
Test,19,33,2452,1273,99,55,23.15,3.12,44.58,6/39,8/102,1,3,0,Lungi Ngidi,South Africa
ODI,67,66,3117,3018,29,103,29.3,5.81,30.26,6/58,6/58,4,1,0,Lungi Ngidi,South Africa
T20,43,43,857,1320,0,63,20.95,9.24,13.6,5/39,5/39,2,1,0,Lungi Ngidi,South Africa
IPL,14,14,324,448,2,25,17.92,8.3,12.96,4/10,4/10,1,0,0,Lungi Ngidi,South Africa
Test,54,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Quinton de Kock,South Africa
ODI,155,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Quinton de Kock,South Africa
T20,92,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Quinton de Kock,South Africa
IPL,108,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Quinton de Kock,South Africa
Test,18,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Rassie van der Dussen,South Africa
ODI,71,1,6,3,0,1,3.0,3.0,6.0,1/3,1/3,0,0,0,Rassie van der Dussen,South Africa
T20,50,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Rassie van der Dussen,South Africa
